userID,age,gender,category,rain_probability
U812a034297d4b9ea3f322715be8b01ed,25,0,4,0
Ue3dddb3fa554e4bb56c9075b7237101f,12,1,4,0
U0148a52d5fefe5b30e1e40caa7960395,20,0,2,1
Uc02f6e97a07f2a37980b8da7b606342e,12,1,3,0
